steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
shame,23,10.0,45.0,85.0,45.0,0.0,65.0,65.0
shame,24,40.0,70.0,40.0,85.0,5.0,65.0,85.0
shame,25,10.0,75.0,75.0,90.0,0.0,85.0,95.0
shame,26,20.0,10.0,85.0,75.0,0.0,75.0,85.0
shame,27,30.0,10.0,40.0,85.0,0.0,75.0,85.0
shame,28,10.0,10.0,45.0,85.0,10.0,65.0,85.0
shame,29,10.0,20.0,85.0,85.0,0.0,85.0,90.0
shame,30,30.0,40.0,85.0,75.0,0.0,85.0,85.0
shame,31,30.0,10.0,85.0,85.0,5.0,65.0,85.0
shame,32,20.0,85.0,85.0,85.0,0.0,85.0,95.0
shame,33,20.0,20.0,75.0,75.0,0.0,75.0,85.0
shame,34,20.0,10.0,40.0,65.0,65.0,40.0,85.0
shame,35,10.0,10.0,75.0,40.0,30.0,75.0,75.0
shame,36,20.0,10.0,75.0,30.0,75.0,65.0,75.0
shame,37,10.0,10.0,30.0,10.0,85.0,20.0,40.0
shame,38,5.0,0.0,75.0,10.0,85.0,70.0,75.0
shame,39,10.0,10.0,75.0,70.0,20.0,75.0,85.0
shame,40,40.0,10.0,30.0,85.0,5.0,92.0,85.0
shame,41,75.0,75.0,90.0,90.0,0.0,95.0,85.0
shame,42,40.0,10.0,65.0,70.0,0.0,85.0,85.0
shame,43,65.0,20.0,85.0,85.0,0.0,95.0,85.0
shame,44,10.0,10.0,40.0,75.0,5.0,85.0,85.0
shame,45,40.0,65.0,75.0,75.0,0.0,85.0,90.0
shame,46,20.0,10.0,95.0,40.0,0.0,95.0,90.0
shame,47,20.0,10.0,85.0,70.0,0.0,85.0,90.0
shame,48,40.0,10.0,85.0,85.0,0.0,85.0,95.0
shame,49,10.0,40.0,85.0,85.0,0.0,85.0,90.0
shame,50,10.0,20.0,85.0,85.0,0.0,90.0,95.0
shame,51,5.0,70.0,70.0,20.0,0.0,75.0,90.0
shame,52,40.0,20.0,85.0,85.0,0.0,95.0,95.0
shame,53,30.0,10.0,70.0,75.0,0.0,85.0,85.0
shame,54,20.0,40.0,85.0,20.0,0.0,75.0,95.0
shame,55,20.0,30.0,85.0,85.0,0.0,85.0,90.0
